time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-15T07:51:49.150Z,19.8213,-68.056,55,3.59,md,11,261,1.3473,0.45,pr,pr2021166006,2021-06-15T08:29:53.956Z,"139 km NE of Miches, Dominican Republic",earthquake,9.23,32.33,0.18,9,reviewed,pr,pr
2021-06-15T07:51:48.904Z,18.7612,-68.2897,156,2.7,ml,,172,0.26,0.66,us,us7000ed67,2021-06-15T12:42:48.040Z,"23 km NNE of Punta Cana, Dominican Republic",earthquake,9.8,8.2,0.061,35,reviewed,us,us
2021-06-15T07:11:42.636Z,28.0647,128.2465,10,4.5,mb,,90,1.224,1.18,us,us7000ed5y,2021-06-15T21:08:42.187Z,"125 km WSW of Naze, Japan",earthquake,6.9,1.9,0.145,14,reviewed,us,us
2021-06-15T06:39:57.460Z,18.9426,-68.53,65,3.68,md,22,161,0.4537,0.58,pr,pr2021166005,2021-06-15T07:26:16.591Z,"35 km NNE of Otra Banda, Dominican Republic",earthquake,1.77,5.09,0.08,18,reviewed,pr,pr
2021-06-15T06:32:24.794Z,17.8369,-66.8541,10,2.5,ml,,215,0.192,0.33,us,us7000ed5d,2021-06-15T07:03:10.040Z,"15 km SSE of Guánica, Puerto Rico",earthquake,1.3,1.9,0.063,33,reviewed,us,us
2021-06-15T06:09:36.830Z,17.8825,-66.869,13,2.76,md,19,215,0.1956,0.21,pr,pr2021166004,2021-06-15T06:38:49.187Z,"10 km SSE of Guánica, Puerto Rico",earthquake,0.68,0.43,0.11,8,reviewed,pr,pr
2021-06-15T05:44:40.790Z,17.853,-66.8688,12,2.56,md,12,248,0.2105,0.17,pr,pr2021166003,2021-06-15T06:04:23.265Z,"13 km SSE of Guánica, Puerto Rico",earthquake,0.83,0.5,0.1,5,reviewed,pr,pr
2021-06-15T05:33:59.680Z,17.8698,-66.8651,6,3.62,md,20,219,0.205,0.21,pr,pr2021166002,2021-06-16T06:36:18.533Z,"12 km SSE of Guánica, Puerto Rico",earthquake,0.61,0.5,0.12,10,reviewed,pr,pr
2021-06-15T04:00:16.359Z,34.7703,97.3827,14.86,4,mb,,100,10.341,0.68,us,us7000ed4s,2021-06-15T04:11:04.040Z,"Southern Qinghai, China",earthquake,12.5,7.2,0.211,6,reviewed,us,us
2021-06-15T03:28:19.980Z,44.174,-128.7671,10,3.1,ml,,227,1.784,0.74,us,us7000ed4q,2021-06-15T10:50:45.505Z,"off the coast of Oregon",earthquake,9.7,2,0.053,46,reviewed,us,us
2021-06-15T03:20:47.385Z,-17.9826,-178.3847,595.41,4.3,mb,,135,3.401,0.67,us,us7000ed4p,2021-06-15T03:33:22.040Z,"243 km E of Levuka, Fiji",earthquake,12.9,10,0.1,28,reviewed,us,us
2021-06-15T02:44:46.978Z,-1.5802,148.1236,10,4.7,mb,,100,0.885,0.91,us,us7000ed4j,2021-06-15T03:33:53.040Z,"107 km ENE of Lorengau, Papua New Guinea",earthquake,7.6,1.9,0.115,23,reviewed,us,us
2021-06-15T02:00:52.256Z,-25.7758,-70.9277,35,4,ml,,152,0.474,0.64,us,us7000ed4f,2021-06-15T02:26:47.040Z,"60 km SW of Taltal, Chile",earthquake,5.5,2,,,reviewed,us,guc
2021-06-15T01:51:23.644Z,-5.2165,133.9335,10,4.3,mb,,173,2.834,0.51,us,us7000ed4e,2021-06-15T02:11:22.040Z,"138 km ENE of Tual, Indonesia",earthquake,9.5,2,0.187,8,reviewed,us,us
2021-06-15T01:30:57.420Z,18.7915,-68.3981,47,3.21,md,11,160,0.2781,0.23,pr,pr2021166001,2021-06-15T02:29:03.632Z,"23 km N of Punta Cana, Dominican Republic",earthquake,1.41,1.76,0.48,4,reviewed,pr,pr
2021-06-15T00:47:51.058Z,-14.7742,-72.5659,81.08,4.6,mb,,124,4.077,1.14,us,us7000ed41,2021-06-15T01:04:44.040Z,"34 km NNE of Puyca, Peru",earthquake,7.9,7.2,0.039,200,reviewed,us,us
2021-06-15T00:27:10.380Z,19.3503341674805,-155.188995361328,6.86999988555908,2.81,ml,11,323,,0.109999999,hv,hv72525167,2021-06-15T00:32:41.300Z,"11 km SSE of Volcano, Hawaii",earthquake,10.96,6.44999981,0.49,17,automatic,hv,hv
2021-06-14T23:32:54.948Z,57.4401,-152.6069,26.8,2.6,ml,,,,0.58,ak,ak0217l9k7jq,2021-06-14T23:59:49.347Z,"27 km SW of Chiniak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-06-14T23:15:26.402Z,55.0511,160.343,119.04,4.5,mb,,125,2.264,0.69,us,us7000ed3h,2021-06-14T23:52:04.040Z,"76 km SE of Atlasovo, Russia",earthquake,8.4,8.9,0.039,191,reviewed,us,us
2021-06-14T22:56:24.502Z,46.3148,149.8992,47.8,4.6,mb,,99,4.959,0.6,us,us7000ed3l,2021-06-14T23:38:38.040Z,"198 km NE of Kuril’sk, Russia",earthquake,10.4,6.3,0.043,160,reviewed,us,us
2021-06-14T21:57:02.445Z,66.331,-157.5749,3.5,2.9,ml,,,,0.95,ak,ak0217l8il64,2021-06-14T22:03:13.978Z,"65 km SSW of Shungnak, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-06-14T21:42:53.682Z,55.0832,-155.322,16.2,3,ml,,,,1.21,ak,ak0217l8fhmh,2021-06-14T22:01:33.335Z,"219 km SSW of Akhiok, Alaska",earthquake,,1.8,,,automatic,ak,ak
2021-06-14T21:11:18.740Z,17.9393,-66.8625,18,2.45,md,7,217,0.1842,0.07,pr,pr2021165012,2021-06-14T21:25:10.104Z,"5 km SSE of Maria Antonia, Puerto Rico",earthquake,0.56,0.77,0.08,5,reviewed,pr,pr
2021-06-14T21:05:33.387Z,-1.2794,-80.9222,21.5,4.9,mb,,86,2.409,0.83,us,us7000ed2p,2021-06-14T21:35:49.362Z,"38 km WNW of Jipijapa, Ecuador",earthquake,8.2,5.3,0.05,124,reviewed,us,us
2021-06-14T20:59:00.811Z,20.0543,145.4519,130.41,4.5,mb,,82,6.453,0.75,us,us7000ed2j,2021-06-14T21:32:26.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,5.7,8.6,0.058,88,reviewed,us,us
2021-06-14T20:05:23.784Z,6.8198,-72.9995,155.19,4.5,mb,,66,0.925,0.63,us,us7000ed1w,2021-06-14T21:24:46.040Z,"northern Colombia",earthquake,7.9,7.9,0.041,171,reviewed,us,us
2021-06-14T19:51:57.540Z,18.536,-67.3756,16,2.96,md,16,185,0.1835,0.31,pr,pr2021165011,2021-06-14T20:22:37.350Z,"25 km NNW of Rincón, Puerto Rico",earthquake,0.79,0.74,0.09,15,reviewed,pr,pr
2021-06-14T19:48:04.912Z,31.67143582,-104.3781867,6.877099609,2.6,ml,19,58,0.1045433967,0.3,tx,tx2021lpds,2021-06-14T21:17:30.040Z,"55 km S of Whites City, New Mexico",earthquake,1.027277615,1.33879067,0.2,11,reviewed,tx,tx
2021-06-14T19:12:22.525Z,31.65178895,-104.5577736,6.671435547,2.8,ml,20,79,0.0514370659,0.3,tx,tx2021lpcn,2021-06-14T20:43:44.137Z,"60 km SSW of Whites City, New Mexico",earthquake,1.827765844,1.174164318,0.2,12,reviewed,tx,tx
2021-06-14T19:10:18.772Z,42.2304,-126.289,10,2.8,ml,,253,1.768,0.59,us,us7000ed1j,2021-06-14T21:05:06.040Z,"155 km W of Gold Beach, Oregon",earthquake,9.3,2,0.043,72,reviewed,us,us
2021-06-14T18:29:16.780Z,19.2466666666667,-155.400166666667,31.94,2.98,ml,60,83,,0.13,hv,hv72524642,2021-06-14T22:37:51.290Z,"Hawaii region, Hawaii",earthquake,0.43,0.51,0.158509420285215,39,reviewed,hv,hv
2021-06-14T18:16:04.490Z,-3.6001,134.7863,41.09,4.8,mb,,66,2.622,1.01,us,us7000ed0s,2021-06-14T19:04:29.040Z,"83 km WSW of Nabire, Indonesia",earthquake,5.9,6.8,0.066,70,reviewed,us,us
2021-06-14T18:02:55.920Z,19.3681666666667,-155.2135,1.38,2.73,ml,42,95,,0.13,hv,hv72524577,2021-06-14T20:52:49.040Z,"8 km SSE of Volcano, Hawaii",earthquake,0.21,0.22,0.183848475569173,8,reviewed,hv,hv
